#General information: Fraunhofer ISE  reserves the right not to be responsible for the topicality, correctness, completeness or quality of the information provided. Liability claims regarding damage caused by the use of any information provided, including any kind of information which is incomplete or incorrect,will therefore be rejected.
#file_info: --- Simulated load profile with synPRO --- number of occupants: 4 --- socioeconomic factor: FAM --- climate region: TRY2010_6_Jahr.dat --- total domestic hot water energy demand: 3309 ---  Building TypeSFH_6 ---  --- For more information contact our synPRO team oc-synpro@ise.fraunhofer.de
#timestep_sec: 900
#col_no;col_name;unit;category;comment
#001;YYYYMMDD;0;time;Date [human readable]
#002;hhmmss;0;time;Time [human readable]
#003;unixtimestamp;s;time;Elapsed seconds from 01-01-1970
#004;Q_dhw;W;power;heating demand for water heating 
#simulated building;SFH_6
#climate region;TRY2010_6_Jahr.dat
#number of houses;1
#number of apartments;1
#number of occupants per apartment;4
#working pattern;FAM
#total number of occupants;4
#specific DHW demand per person;1655;kWh/p
YYYYMMDD;hhmmss;unixtimestamp;Q_dhw
20210101;000000;1609455600;161.319596337891
20210101;001500;1609456500;161.322484947225
20210101;003000;1609457400;161.322484947225
20210101;004500;1609458300;161.322484947225
20210101;010000;1609459200;161.322484947225
20210101;011500;1609460100;161.322484947225
20210101;013000;1609461000;161.322484947225
20210101;014500;1609461900;161.322484947225
20210101;020000;1609462800;161.322484947225
20210101;021500;1609463700;161.322484947225
20210101;023000;1609464600;161.322484947225
20210101;024500;1609465500;161.322484947225
20210101;030000;1609466400;161.322484947225
20210101;031500;1609467300;161.322484947225
20210101;033000;1609468200;161.322484947225
20210101;034500;1609469100;161.322484947225
20210101;040000;1609470000;161.322484947225
20210101;041500;1609470900;161.322484947225
20210101;043000;1609471800;161.322484947225
20210101;044500;1609472700;161.322484947225
20210101;050000;1609473600;161.322484947225
20210101;051500;1609474500;161.322484947225
20210101;053000;1609475400;161.322484947225
20210101;054500;1609476300;161.322484947225
20210101;060000;1609477200;161.322484947225
20210101;061500;1609478100;161.322484947225
20210101;063000;1609479000;161.322484947225
20210101;064500;1609479900;161.322484947225
20210101;070000;1609480800;161.322484947225
20210101;071500;1609481700;161.322484947225
20210101;073000;1609482600;161.322484947225
20210101;074500;1609483500;161.322484947225
20210101;080000;1609484400;161.322484947225
20210101;081500;1609485300;161.322484947225
20210101;083000;1609486200;161.322484947225
20210101;084500;1609487100;161.322484947225
20210101;090000;1609488000;161.322484947225
20210101;091500;1609488900;161.322484947225
20210101;093000;1609489800;161.322484947225
20210101;094500;1609490700;161.322484947225
20210101;100000;1609491600;161.322484947225
20210101;101500;1609492500;2539.09029447808
20210101;103000;1609493400;161.322484947225
20210101;104500;1609494300;161.322484947225
20210101;110000;1609495200;161.322484947225
20210101;111500;1609496100;161.322484947225
20210101;113000;1609497000;161.322484947225
20210101;114500;1609497900;161.322484947225
20210101;120000;1609498800;161.322484947225
20210101;121500;1609499700;543.951787630351
20210101;123000;1609500600;2839.72760372911
20210101;124500;1609501500;4652.66168072774
20210101;130000;1609502400;13143.3881116962
20210101;131500;1609503300;161.322484947225
20210101;133000;1609504200;161.322484947225
20210101;134500;1609505100;161.322484947225
20210101;140000;1609506000;161.322484947225
20210101;141500;1609506900;161.322484947225
20210101;143000;1609507800;161.322484947225
20210101;144500;1609508700;161.322484947225
20210101;150000;1609509600;161.322484947225
20210101;151500;1609510500;229.64914614064
20210101;153000;1609511400;161.322484947225
20210101;154500;1609512300;161.322484947225
20210101;160000;1609513200;161.322484947225
20210101;161500;1609514100;161.322484947225
20210101;163000;1609515000;161.322484947225
20210101;164500;1609515900;161.322484947225
20210101;170000;1609516800;161.322484947225
20210101;171500;1609517700;161.322484947225
20210101;173000;1609518600;161.322484947225
20210101;174500;1609519500;161.322484947225
20210101;180000;1609520400;161.322484947225
20210101;181500;1609521300;161.322484947225
20210101;183000;1609522200;161.322484947225
20210101;184500;1609523100;416.408686735976
20210101;190000;1609524000;161.322484947225
20210101;191500;1609524900;161.322484947225
20210101;193000;1609525800;161.322484947225
20210101;194500;1609526700;282.79210484663
20210101;200000;1609527600;452.849572705797
20210101;201500;1609528500;161.322484947225
20210101;203000;1609529400;161.322484947225
20210101;204500;1609530300;161.322484947225
20210101;210000;1609531200;161.322484947225
20210101;211500;1609532100;161.322484947225
20210101;213000;1609533000;161.322484947225
20210101;214500;1609533900;161.322484947225
20210101;220000;1609534800;161.322484947225
20210101;221500;1609535700;161.322484947225
20210101;223000;1609536600;161.322484947225
20210101;224500;1609537500;3067.4831410405
20210101;230000;1609538400;161.322484947225
20210101;231500;1609539300;161.322484947225
20210101;233000;1609540200;161.322484947225
20210101;234500;1609541100;161.322484947225
20210102;000000;1609542000;161.576390512148
20210102;001500;1609542900;161.579243383664
20210102;003000;1609543800;161.579243383664
20210102;004500;1609544700;161.579243383664
20210102;010000;1609545600;161.579243383664
20210102;011500;1609546500;161.579243383664
20210102;013000;1609547400;161.579243383664
20210102;014500;1609548300;161.579243383664
20210102;020000;1609549200;161.579243383664
20210102;021500;1609550100;161.579243383664
20210102;023000;1609551000;161.579243383664
20210102;024500;1609551900;161.579243383664
20210102;030000;1609552800;161.579243383664
20210102;031500;1609553700;161.579243383664
20210102;033000;1609554600;161.579243383664
20210102;034500;1609555500;161.579243383664
20210102;040000;1609556400;161.579243383664
20210102;041500;1609557300;161.579243383664
20210102;043000;1609558200;161.579243383664
20210102;044500;1609559100;161.579243383664
20210102;050000;1609560000;161.579243383664
20210102;051500;1609560900;4640.29655772698
20210102;053000;1609561800;1811.63299077331
20210102;054500;1609562700;161.579243383664
20210102;060000;1609563600;1572.86945313259
20210102;061500;1609564500;161.579243383664
20210102;063000;1609565400;3659.38903047691
20210102;064500;1609566300;2397.13593339544
20210102;070000;1609567200;161.579243383664
20210102;071500;1609568100;344.073667058095
20210102;073000;1609569000;161.579243383664
20210102;074500;1609569900;161.579243383664
20210102;080000;1609570800;161.579243383664
20210102;081500;1609571700;2935.49448323501
20210102;083000;1609572600;161.579243383664
20210102;084500;1609573500;161.579243383664
20210102;090000;1609574400;161.579243383664
20210102;091500;1609575300;161.579243383664
20210102;093000;1609576200;303.012421731348
20210102;094500;1609577100;161.579243383664
20210102;100000;1609578000;161.579243383664
20210102;101500;1609578900;161.579243383664
20210102;103000;1609579800;161.579243383664
20210102;104500;1609580700;2780.37422311174
20210102;110000;1609581600;161.579243383664
20210102;111500;1609582500;161.579243383664
20210102;113000;1609583400;161.579243383664
20210102;114500;1609584300;161.579243383664
20210102;120000;1609585200;161.579243383664
20210102;121500;1609586100;161.579243383664
20210102;123000;1609587000;161.579243383664
20210102;124500;1609587900;161.579243383664
20210102;130000;1609588800;161.579243383664
20210102;131500;1609589700;161.579243383664
20210102;133000;1609590600;161.579243383664
20210102;134500;1609591500;161.579243383664
20210102;140000;1609592400;161.579243383664
20210102;141500;1609593300;161.579243383664
20210102;143000;1609594200;161.579243383664
20210102;144500;1609595100;161.579243383664
20210102;150000;1609596000;161.579243383664
20210102;151500;1609596900;161.579243383664
20210102;153000;1609597800;161.579243383664
20210102;154500;1609598700;161.579243383664
20210102;160000;1609599600;161.579243383664
20210102;161500;1609600500;161.579243383664
20210102;163000;1609601400;161.579243383664
20210102;164500;1609602300;161.579243383664
20210102;170000;1609603200;161.579243383664
20210102;171500;1609604100;161.579243383664
20210102;173000;1609605000;161.579243383664
20210102;174500;1609605900;161.579243383664
20210102;180000;1609606800;161.579243383664
20210102;181500;1609607700;161.579243383664
20210102;183000;1609608600;161.579243383664
20210102;184500;1609609500;161.579243383664
20210102;190000;1609610400;161.579243383664
20210102;191500;1609611300;161.579243383664
20210102;193000;1609612200;161.579243383664
20210102;194500;1609613100;161.579243383664
20210102;200000;1609614000;161.579243383664
20210102;201500;1609614900;5602.9546426096
20210102;203000;1609615800;161.579243383664
20210102;204500;1609616700;161.579243383664
20210102;210000;1609617600;161.579243383664
20210102;211500;1609618500;161.579243383664
20210102;213000;1609619400;161.579243383664
20210102;214500;1609620300;161.579243383664
20210102;220000;1609621200;161.579243383664
20210102;221500;1609622100;5894.94572048869
20210102;223000;1609623000;161.579243383664
20210102;224500;1609623900;161.579243383664
20210102;230000;1609624800;161.579243383664
20210102;231500;1609625700;161.579243383664
