#General information: Fraunhofer ISE  reserves the right not to be responsible for the topicality, correctness, completeness or quality of the information provided. Liability claims regarding damage caused by the use of any information provided, including any kind of information which is incomplete or incorrect,will therefore be rejected.
#file_info: --- Simulated load profile with synPRO --- number of occupants: 4 --- socioeconomic factor: FAM --- climate region: TRY2010_6_Jahr.dat --- total domestic hot water energy demand: 3380 ---  Building TypeSFH_2 ---  --- For more information contact our synPRO team oc-synpro@ise.fraunhofer.de
#timestep_sec: 900
#col_no;col_name;unit;category;comment
#001;YYYYMMDD;0;time;Date [human readable]
#002;hhmmss;0;time;Time [human readable]
#003;unixtimestamp;s;time;Elapsed seconds from 01-01-1970
#004;Q_dhw;W;power;heating demand for water heating 
#simulated building;SFH_2
#climate region;TRY2010_6_Jahr.dat
#number of houses;1
#number of apartments;1
#number of occupants per apartment;4
#working pattern;FAM
#total number of occupants;4
#specific DHW demand per person;1690;kWh/p
YYYYMMDD;hhmmss;unixtimestamp;Q_dhw
20210101;000000;1609455600;183.596488951819
20210101;001500;1609456500;183.599776454043
20210101;003000;1609457400;183.599776454043
20210101;004500;1609458300;183.599776454043
20210101;010000;1609459200;183.599776454043
20210101;011500;1609460100;183.599776454043
20210101;013000;1609461000;183.599776454043
20210101;014500;1609461900;183.599776454043
20210101;020000;1609462800;183.599776454043
20210101;021500;1609463700;183.599776454043
20210101;023000;1609464600;183.599776454043
20210101;024500;1609465500;183.599776454043
20210101;030000;1609466400;183.599776454043
20210101;031500;1609467300;183.599776454043
20210101;033000;1609468200;183.599776454043
20210101;034500;1609469100;183.599776454043
20210101;040000;1609470000;183.599776454043
20210101;041500;1609470900;183.599776454043
20210101;043000;1609471800;183.599776454043
20210101;044500;1609472700;183.599776454043
20210101;050000;1609473600;183.599776454043
20210101;051500;1609474500;183.599776454043
20210101;053000;1609475400;183.599776454043
20210101;054500;1609476300;183.599776454043
20210101;060000;1609477200;183.599776454043
20210101;061500;1609478100;183.599776454043
20210101;063000;1609479000;183.599776454043
20210101;064500;1609479900;377.951168293091
20210101;070000;1609480800;183.599776454043
20210101;071500;1609481700;183.599776454043
20210101;073000;1609482600;183.599776454043
20210101;074500;1609483500;371.877687298121
20210101;080000;1609484400;183.599776454043
20210101;081500;1609485300;183.599776454043
20210101;083000;1609486200;183.599776454043
20210101;084500;1609487100;183.599776454043
20210101;090000;1609488000;183.599776454043
20210101;091500;1609488900;183.599776454043
20210101;093000;1609489800;183.599776454043
20210101;094500;1609490700;183.599776454043
20210101;100000;1609491600;183.599776454043
20210101;101500;1609492500;183.599776454043
20210101;103000;1609493400;183.599776454043
20210101;104500;1609494300;2953.10711016048
20210101;110000;1609495200;183.599776454043
